symbol,companyName,industry
GLOBALVECT,Global Vectra Helicorp Limited,Airline
TVVISION,TV Vision Limited,TV Broadcasting & Software Production
BIL,Bhartiya International Limited,Leather And Leather Products
DSFCL,DCM Shriram Fine Chemicals Limited,Specialty Chemicals
BEACON,Beacon Trusteeship Limited,Other Financial Services
SRTL,Shree Ram Twistex Limited,Other Textile Products
WEALTH,Wealth First Portfolio Managers Limited,Other Financial Services
RKDL,Ravi Kumar Distilleries Limited,Breweries & Distilleries
FILATFASH,Filatex Fashions Limited,Garments & Apparels
GENUSPAPER,Genus Paper & Boards Limited,Paper & Paper Products
VELS,Vels Film International Limited,Film Production Distribution & Exhibition
VHL,Vardhman Holdings Limited,Investment Company
MADHAVIPL,Madhav Infra Projects Limited,Civil Construction
SURANASOL,Surana Solar Limited,Heavy Electrical Equipment
CCCL,Consolidated Construction Consortium Limited,Residential Commercial Projects
TREL,Transindia Real Estate Limited,Logistics Solution Provider
KOTYARK,Kotyark Industries Limited,Refineries & Marketing
MUTHOOTMF,Muthoot Microfin Limited,Microfinance Institutions
SUPREMEINF,Supreme Infrastructure India Limited,Civil Construction
TAINWALCHM,Tainwala Chemical and Plastic (I) Limited,Plastic Products - Industrial
FLEXITUFF,Flexituff Ventures International Limited,Other Textile Products
BLUESTONE,BlueStone Jewellery and Lifestyle Limited,Gems Jewellery And Watches
SUNTECH,Suntech Infra Solutions Limited,Civil Construction
LATTEYS,Latteys Industries Limited,Compressors Pumps & Diesel Engines
INVPRECQ,Investment & Precision Castings Limited,Castings & Forgings
RKSWAMY,R K Swamy Limited,Advertising & Media Agencies
ATL,Allcargo Terminals Limited,Port & Port services
EMPOWER,Empower India Limited,Computers - Software & Consulting
DBEIL,Deepak Builders & Engineers India Limited,Civil Construction
VIPULLTD,Vipul Limited,Residential Commercial Projects
IKS,Inventurus Knowledge Solutions Limited,IT Enabled Services
ZEELEARN,Zee Learn Limited,Education
VLEGOV,VL E-Governance & IT Solutions Limited,IT Enabled Services
FOODSIN,Foods & Inns Limited,Packaged Foods
DELTAMAGNT,Delta Manufacturing Limited,Other Industrial Products
NURECA,Nureca Limited,Medical Equipment & Supplies
SUDARCOLOR,Sudarshan Colorants India Limited,Dyes And Pigments
AKI,AKI India Limited,Leather And Leather Products
LUXIND,Lux Industries Limited,Garments & Apparels
AURIGROW,Auri Grow India Limited,Cables - Electricals
