symbol,companyName,industry,isin,sector,basic_industry
AUTOIND,Autoline Industries Limited,Auto Components & Equipments,INE718H01014,Automobile and Auto Components,Auto Components & Equipments
PAISALO,Paisalo Digital Limited,Non Banking Financial Company (NBFC),INE420C01059,,
ROLEXRINGS,Rolex Rings Limited,Auto Components & Equipments,INE645S01024,Automobile and Auto Components,Auto Components & Equipments
ARVSMART,Arvind SmartSpaces Limited,Residential Commercial Projects,INE034S01021,,
VERANDA,Veranda Learning Solutions Limited,E-Learning,INE0IQ001011,,
COFFEEDAY,Coffee Day Enterprises Limited,Restaurants,INE335K01011,,
SHARDACROP,Sharda Cropchem Limited,Pesticides & Agrochemicals,INE221J01015,,
OBEROIRLTY,Oberoi Realty Limited,Residential Commercial Projects,INE093I01010,,
JAGRAN,Jagran Prakashan Limited,Print Media,INE199G01027,,
STYLAMIND,Stylam Industries Limited,Plywood Boards/ Laminates,INE239C01020,,
QUICKHEAL,Quick Heal Technologies Limited,Software Products,INE306L01010,Information Technology,Computers - Software & Consulting
GODREJPROP,Godrej Properties Limited,Residential Commercial Projects,INE484J01027,,
TIRUMALCHM,Thirumalai Chemicals Limited,Commodity Chemicals,INE338A01024,,
EASEMYTRIP,Easy Trip Planners Limited,Tour Travel Related Services,INE07O001026,,
CELEBRITY,Celebrity Fashions Limited,Garments & Apparels,INE185H01016,,
RUBICON,Rubicon Research Limited,Pharmaceuticals,INE506V01022,Healthcare,Pharmaceuticals
TOTAL,Total Transport Systems Limited,Logistics Solution Provider,INE336X01012,,
NORTHARC,Northern Arc Capital Limited,Non Banking Financial Company (NBFC),INE850M01015,,
RATNAVEER,Ratnaveer Precision Engineering Limited,Iron & Steel Products,INE05CZ01011,,
SIRCA,Sirca Paints India Limited,Paints,INE792Z01011,,
ICICIGI,ICICI Lombard General Insurance Company Limited,General Insurance,INE765G01017,,
INDUSINVIT,Indus Infra Trust,Road Assets - Toll Annuity Hybrid-Annuity,INE0NHL23019,,
APLAPOLLO,APL Apollo Tubes Limited,Iron & Steel Products,INE702C01027,,
INDIAMART,Indiamart Intermesh Limited,Internet & Catalogue Retail,INE933S01016,,
BATAINDIA,Bata India Limited,Footwear,INE176A01028,,
LUPIN,Lupin Limited,Pharmaceuticals,INE326A01037,Healthcare,Pharmaceuticals
NUCLEUS,Nucleus Software Exports Limited,Software Products,INE096B01018,Information Technology,Computers - Software & Consulting
HYUNDAI,Hyundai Motor India Limited,Passenger Cars & Utility Vehicles,INE0V6F01027,,
MANAKSTEEL,Manaksia Steels Limited,Iron & Steel,INE824Q01011,,
UPL,UPL Limited,Pesticides & Agrochemicals,INE628A01036,,
LANDMARK,Landmark Cars Limited,Auto Dealer,INE559R01029,,
TITAGARH,TITAGARH RAIL SYSTEMS LIMITED,Railway Wagons,INE615H01020,,
MTARTECH,Mtar Technologies Limited,Other Electrical Equipment,INE864I01014,,
AXITA,Axita Cotton Limited,Other Textile Products,INE02EZ01022,,
RAJESHEXPO,Rajesh Exports Limited,Gems Jewellery And Watches,INE343B01030,,
ACMESOLAR,Acme Solar Holdings Limited,Power Generation,INE622W01025,,
VIPIND,VIP Industries Limited,Plastic Products - Consumer,INE054A01027,,
DENTA,Denta Water and Infra Solutions Limited,Water Supply & Management,INE0R4L01018,,
CHOLAFIN,Cholamandalam Investment and Finance Company Limited,Non Banking Financial Company (NBFC),INE121A01024,,
PSPPROJECT,PSP Projects Limited,Civil Construction,INE488V01015,,
KTKBANK,The Karnataka Bank Limited,Private Sector Bank,INE614B01018,,
STARHEALTH,Star Health and Allied Insurance Company Limited,General Insurance,INE575P01011,,
RALLIS,Rallis India Limited,Pesticides & Agrochemicals,INE613A01020,,
GABRIEL,Gabriel India Limited,Auto Components & Equipments,INE524A01029,Automobile and Auto Components,Auto Components & Equipments
AUBANK,AU Small Finance Bank Limited,Other Bank,INE949L01017,,
IDEAFORGE,Ideaforge Technology Limited,Aerospace & Defense,INE349Y01013,Capital Goods,Aerospace & Defense
ASTRAL,Astral Limited,Plastic Products - Industrial,INE006I01046,,
KEI,KEI Industries Limited,Cables - Electricals,INE878B01027,,
AWFIS,Awfis Space Solutions Limited,Diversified Commercial Services,INE108V01019,Metals & Mining,Diversified Metals
NMDC,NMDC Limited,Industrial Minerals,INE584A01023,Capital Goods,Railway Wagons
INDIGO,InterGlobe Aviation Limited,Airline,INE646L01027,,
FMNL,Future Market Networks Limited,Diversified Commercial Services,INE360L01017,Metals & Mining,Diversified Metals
AEQUS,Aequs Limited,Aerospace & Defense,INE947N01017,Capital Goods,Aerospace & Defense
REGAAL,Regaal Resources Limited,Other Agricultural Products,INE0MHO01029,,
GANESHHOU,GANESH HOUSING LIMITED,Residential Commercial Projects,INE460C01014,,
BHARTIARTL,Bharti Airtel Limited,Telecom - Cellular & Fixed line services,INE397D01024,Telecommunication,Telecom - Cellular & Fixed line services
TASTYBITE,Tasty Bite Eatables Limited,Packaged Foods,INE488B01017,,
